Date,,Stage,Stage_m
1/6/2015,2:00:00 PM,16.69,5.09
1/6/2015,3:00:00 PM,16.67,5.08
1/6/2015,4:00:00 PM,16.66,5.08
1/6/2015,5:00:00 PM,16.65,5.07
1/6/2015,6:00:00 PM,16.64,5.07
1/6/2015,7:00:00 PM,16.64,5.07
1/6/2015,8:00:00 PM,16.63,5.07
1/6/2015,9:00:00 PM,16.62,5.07
1/6/2015,10:00:00 PM,16.61,5.06
1/6/2015,11:00:00 PM,16.61,5.06
1/7/2015,12:00:00 AM,16.6,5.06
1/7/2015,1:00:00 AM,16.59,5.06
1/7/2015,2:00:00 AM,16.58,5.05
1/7/2015,3:00:00 AM,16.57,5.05
1/7/2015,4:00:00 AM,16.56,5.05
1/7/2015,5:00:00 AM,16.55,5.04
1/7/2015,6:00:00 AM,16.54,5.04
1/7/2015,7:00:00 AM,16.53,5.04
1/7/2015,8:00:00 AM,16.52,5.04
1/7/2015,9:00:00 AM,16.5,5.03
1/7/2015,10:00:00 AM,16.49,5.03
1/7/2015,11:00:00 AM,16.48,5.02
1/7/2015,12:00:00 PM,16.47,5.02
1/7/2015,1:00:00 PM,16.45,5.01
1/7/2015,2:00:00 PM,16.44,5.01
1/7/2015,3:00:00 PM,16.43,5.01
1/7/2015,4:00:00 PM,16.41,5
1/7/2015,5:00:00 PM,16.39,5
1/7/2015,6:00:00 PM,16.37,4.99
1/7/2015,7:00:00 PM,16.35,4.98
1/7/2015,8:00:00 PM,16.34,4.98
1/7/2015,9:00:00 PM,16.32,4.97
1/7/2015,10:00:00 PM,16.31,4.97
1/7/2015,11:00:00 PM,16.3,4.97
1/8/2015,12:00:00 AM,16.29,4.97
1/8/2015,1:00:00 AM,16.28,4.96
1/8/2015,2:00:00 AM,16.27,4.96
1/8/2015,3:00:00 AM,16.26,4.96
1/8/2015,4:00:00 AM,16.25,4.95
1/8/2015,5:00:00 AM,16.24,4.95
1/8/2015,6:00:00 AM,16.23,4.95
1/8/2015,7:00:00 AM,16.22,4.94
1/8/2015,8:00:00 AM,16.21,4.94
1/8/2015,9:00:00 AM,16.2,4.94
1/8/2015,10:00:00 AM,16.2,4.94
1/8/2015,11:00:00 AM,16.19,4.93
1/8/2015,12:00:00 PM,16.18,4.93
1/8/2015,1:00:00 PM,16.18,4.93
1/8/2015,2:00:00 PM,16.17,4.93
1/8/2015,3:00:00 PM,16.16,4.93
1/8/2015,4:00:00 PM,16.16,4.93
1/8/2015,5:00:00 PM,16.15,4.92
1/8/2015,6:00:00 PM,16.15,4.92
1/8/2015,7:00:00 PM,16.15,4.92
1/8/2015,8:00:00 PM,16.15,4.92
1/8/2015,9:00:00 PM,16.14,4.92
1/8/2015,10:00:00 PM,16.14,4.92
1/8/2015,11:00:00 PM,16.14,4.92
1/9/2015,12:00:00 AM,16.15,4.92
1/9/2015,1:00:00 AM,16.15,4.92
1/9/2015,2:00:00 AM,16.15,4.92
1/9/2015,3:00:00 AM,16.16,4.93
1/9/2015,4:00:00 AM,16.19,4.93
1/9/2015,5:00:00 AM,16.18,4.93
1/9/2015,6:00:00 AM,16.18,4.93
1/9/2015,7:00:00 AM,16.17,4.93
1/9/2015,8:00:00 AM,16.16,4.93
1/9/2015,9:00:00 AM,16.14,4.92
1/9/2015,10:00:00 AM,16.12,4.91
1/9/2015,11:00:00 AM,16.13,4.92
1/9/2015,12:00:00 PM,16.13,4.92
1/9/2015,1:00:00 PM,16.03,4.89
1/9/2015,2:00:00 PM,16.01,4.88
1/9/2015,3:00:00 PM,16,4.88
1/9/2015,4:00:00 PM,15.99,4.87
1/9/2015,5:00:00 PM,15.98,4.87
1/9/2015,6:00:00 PM,15.98,4.87
1/9/2015,7:00:00 PM,15.98,4.87
1/9/2015,8:00:00 PM,15.97,4.87
1/9/2015,9:00:00 PM,15.97,4.87
1/9/2015,10:00:00 PM,15.96,4.86
1/9/2015,11:00:00 PM,15.96,4.86
1/10/2015,12:00:00 AM,15.95,4.86
1/10/2015,1:00:00 AM,15.94,4.86
1/10/2015,2:00:00 AM,15.94,4.86
1/10/2015,3:00:00 AM,15.93,4.86
1/10/2015,4:00:00 AM,15.93,4.86
1/10/2015,5:00:00 AM,15.92,4.85
1/10/2015,6:00:00 AM,15.92,4.85
1/10/2015,7:00:00 AM,15.92,4.85
1/10/2015,8:00:00 AM,15.91,4.85
1/10/2015,9:00:00 AM,15.91,4.85
1/10/2015,10:00:00 AM,15.91,4.85
1/10/2015,11:00:00 AM,15.91,4.85
1/10/2015,12:00:00 PM,15.91,4.85
1/10/2015,1:00:00 PM,15.88,4.84
1/10/2015,2:00:00 PM,15.87,4.84
1/10/2015,3:00:00 PM,15.87,4.84
1/10/2015,4:00:00 PM,15.86,4.83
1/10/2015,5:00:00 PM,15.86,4.83
1/10/2015,6:00:00 PM,15.86,4.83
1/10/2015,7:00:00 PM,15.86,4.83
1/10/2015,8:00:00 PM,15.85,4.83
1/10/2015,9:00:00 PM,15.85,4.83
1/10/2015,10:00:00 PM,15.85,4.83
1/10/2015,11:00:00 PM,15.84,4.83
1/11/2015,12:00:00 AM,15.84,4.83
1/11/2015,1:00:00 AM,15.84,4.83
1/11/2015,2:00:00 AM,15.83,4.82
1/11/2015,3:00:00 AM,15.83,4.82
1/11/2015,4:00:00 AM,15.82,4.82
1/11/2015,5:00:00 AM,15.82,4.82
1/11/2015,6:00:00 AM,15.81,4.82
1/11/2015,7:00:00 AM,15.81,4.82
1/11/2015,8:00:00 AM,15.8,4.82
1/11/2015,9:00:00 AM,15.79,4.81
1/11/2015,10:00:00 AM,15.79,4.81
1/11/2015,11:00:00 AM,15.78,4.81
1/11/2015,12:00:00 PM,15.77,4.81
1/11/2015,1:00:00 PM,15.76,4.8
1/11/2015,2:00:00 PM,15.75,4.8
1/11/2015,3:00:00 PM,15.74,4.8
1/11/2015,4:00:00 PM,15.73,4.79
1/11/2015,5:00:00 PM,15.73,4.79
1/11/2015,6:00:00 PM,15.72,4.79
1/11/2015,7:00:00 PM,15.71,4.79
1/11/2015,8:00:00 PM,15.7,4.79
1/11/2015,9:00:00 PM,15.7,4.79
1/11/2015,10:00:00 PM,15.69,4.78
1/11/2015,11:00:00 PM,15.68,4.78
1/12/2015,12:00:00 AM,15.67,4.78
1/12/2015,1:00:00 AM,15.66,4.77
1/12/2015,2:00:00 AM,15.66,4.77
1/12/2015,3:00:00 AM,15.65,4.77
1/12/2015,4:00:00 AM,15.64,4.77
1/12/2015,5:00:00 AM,15.64,4.77
1/12/2015,6:00:00 AM,15.63,4.76
1/12/2015,7:00:00 AM,15.62,4.76
1/12/2015,8:00:00 AM,15.62,4.76
1/12/2015,9:00:00 AM,15.61,4.76
1/12/2015,10:00:00 AM,15.6,4.75
1/12/2015,11:00:00 AM,15.6,4.75
1/12/2015,12:00:00 PM,15.59,4.75
1/12/2015,1:00:00 PM,15.58,4.75
1/12/2015,2:00:00 PM,15.57,4.75
1/12/2015,3:00:00 PM,15.57,4.75
1/12/2015,4:00:00 PM,15.56,4.74
1/12/2015,5:00:00 PM,15.56,4.74
1/12/2015,6:00:00 PM,15.55,4.74
1/12/2015,7:00:00 PM,15.55,4.74
1/12/2015,8:00:00 PM,15.54,4.74
1/12/2015,9:00:00 PM,15.54,4.74
1/12/2015,10:00:00 PM,15.53,4.73
1/12/2015,11:00:00 PM,15.53,4.73
1/13/2015,12:00:00 AM,15.53,4.73
1/13/2015,1:00:00 AM,15.52,4.73
1/13/2015,2:00:00 AM,15.52,4.73
1/13/2015,3:00:00 AM,15.51,4.73
1/13/2015,4:00:00 AM,15.51,4.73
1/13/2015,5:00:00 AM,15.5,4.72
1/13/2015,6:00:00 AM,15.5,4.72
1/13/2015,7:00:00 AM,15.49,4.72
1/13/2015,8:00:00 AM,15.49,4.72
1/13/2015,9:00:00 AM,15.48,4.72
1/13/2015,10:00:00 AM,15.47,4.72
1/13/2015,11:00:00 AM,15.46,4.71
1/13/2015,12:00:00 PM,15.45,4.71
1/13/2015,1:00:00 PM,15.43,4.7
1/13/2015,2:00:00 PM,15.42,4.7
1/13/2015,3:00:00 PM,15.42,4.7
1/13/2015,4:00:00 PM,15.42,4.7
1/13/2015,5:00:00 PM,15.41,4.7
1/13/2015,6:00:00 PM,15.39,4.69
1/13/2015,7:00:00 PM,15.38,4.69
1/13/2015,8:00:00 PM,15.37,4.68
1/13/2015,9:00:00 PM,15.36,4.68
1/13/2015,10:00:00 PM,15.35,4.68
1/13/2015,11:00:00 PM,15.34,4.68
1/14/2015,12:00:00 AM,15.33,4.67
1/14/2015,1:00:00 AM,15.31,4.67
1/14/2015,2:00:00 AM,15.31,4.67
1/14/2015,3:00:00 AM,15.3,4.66
1/14/2015,4:00:00 AM,15.28,4.66
1/14/2015,5:00:00 AM,15.27,4.65
1/14/2015,6:00:00 AM,15.26,4.65
1/14/2015,7:00:00 AM,15.25,4.65
1/14/2015,8:00:00 AM,15.24,4.65
1/14/2015,9:00:00 AM,15.22,4.64
1/14/2015,10:00:00 AM,15.21,4.64
1/14/2015,11:00:00 AM,15.2,4.63
1/14/2015,12:00:00 PM,15.2,4.63
1/14/2015,1:00:00 PM,15.18,4.63
1/14/2015,2:00:00 PM,15.17,4.62
1/14/2015,3:00:00 PM,15.18,4.63
1/14/2015,4:00:00 PM,15.15,4.62
1/14/2015,5:00:00 PM,15.14,4.61
1/14/2015,6:00:00 PM,15.16,4.62
1/14/2015,7:00:00 PM,15.15,4.62
1/14/2015,8:00:00 PM,15.13,4.61
1/14/2015,9:00:00 PM,15.15,4.62
1/14/2015,10:00:00 PM,15.12,4.61
1/14/2015,11:00:00 PM,15.12,4.61
1/15/2015,12:00:00 AM,15.16,4.62
1/15/2015,1:00:00 AM,15.15,4.62
1/15/2015,2:00:00 AM,15.12,4.61
1/15/2015,3:00:00 AM,15.14,4.61
1/15/2015,4:00:00 AM,15.09,4.6
1/15/2015,5:00:00 AM,15.09,4.6
1/15/2015,6:00:00 AM,15.08,4.6
1/15/2015,7:00:00 AM,15.09,4.6
1/15/2015,8:00:00 AM,15.08,4.6
1/15/2015,9:00:00 AM,15.06,4.59
1/15/2015,10:00:00 AM,15.07,4.59
1/15/2015,11:00:00 AM,15.05,4.59
1/15/2015,12:00:00 PM,15.04,4.58
1/15/2015,1:00:00 PM,14.99,4.57
1/15/2015,2:00:00 PM,14.98,4.57
1/15/2015,3:00:00 PM,14.97,4.56
1/15/2015,4:00:00 PM,14.97,4.56
1/15/2015,5:00:00 PM,14.97,4.56
1/15/2015,6:00:00 PM,14.96,4.56
1/15/2015,7:00:00 PM,14.95,4.56
1/15/2015,8:00:00 PM,14.95,4.56
1/15/2015,9:00:00 PM,14.94,4.55
1/15/2015,10:00:00 PM,14.94,4.55
1/15/2015,11:00:00 PM,14.93,4.55
1/16/2015,12:00:00 AM,14.93,4.55
1/16/2015,1:00:00 AM,14.92,4.55
1/16/2015,2:00:00 AM,14.92,4.55
1/16/2015,3:00:00 AM,14.92,4.55
1/16/2015,4:00:00 AM,14.92,4.55
1/16/2015,5:00:00 AM,14.9,4.54
1/16/2015,6:00:00 AM,14.91,4.54
1/16/2015,7:00:00 AM,14.91,4.54
1/16/2015,8:00:00 AM,14.89,4.54
1/16/2015,9:00:00 AM,14.89,4.54
1/16/2015,10:00:00 AM,14.91,4.54
1/16/2015,11:00:00 AM,14.9,4.54
1/16/2015,12:00:00 PM,14.88,4.54
1/16/2015,1:00:00 PM,14.88,4.54
1/16/2015,2:00:00 PM,14.88,4.54
1/16/2015,3:00:00 PM,14.88,4.54
1/16/2015,4:00:00 PM,14.88,4.54
1/16/2015,5:00:00 PM,14.88,4.54
1/16/2015,6:00:00 PM,14.89,4.54
1/16/2015,7:00:00 PM,14.9,4.54
1/16/2015,8:00:00 PM,14.9,4.54
1/16/2015,9:00:00 PM,14.9,4.54
1/16/2015,10:00:00 PM,14.91,4.54
1/16/2015,11:00:00 PM,14.91,4.54
1/17/2015,12:00:00 AM,14.91,4.54
1/17/2015,1:00:00 AM,14.91,4.54
1/17/2015,2:00:00 AM,14.92,4.55
1/17/2015,3:00:00 AM,14.92,4.55
1/17/2015,4:00:00 AM,14.92,4.55
1/17/2015,5:00:00 AM,14.91,4.54
1/17/2015,6:00:00 AM,14.91,4.54
1/17/2015,7:00:00 AM,14.9,4.54
1/17/2015,8:00:00 AM,14.9,4.54
1/17/2015,9:00:00 AM,14.92,4.55
1/17/2015,10:00:00 AM,14.92,4.55
1/17/2015,11:00:00 AM,14.89,4.54
1/17/2015,12:00:00 PM,14.88,4.54
1/17/2015,1:00:00 PM,14.86,4.53
1/17/2015,2:00:00 PM,14.85,4.53
1/17/2015,3:00:00 PM,14.85,4.53
1/17/2015,4:00:00 PM,14.85,4.53
1/17/2015,5:00:00 PM,14.85,4.53
1/17/2015,6:00:00 PM,14.85,4.53
1/17/2015,7:00:00 PM,14.85,4.53
1/17/2015,8:00:00 PM,14.85,4.53
1/17/2015,9:00:00 PM,14.86,4.53
1/17/2015,10:00:00 PM,14.85,4.53
1/17/2015,11:00:00 PM,14.85,4.53
1/18/2015,12:00:00 AM,14.86,4.53
1/18/2015,1:00:00 AM,14.86,4.53
1/18/2015,2:00:00 AM,14.85,4.53
1/18/2015,3:00:00 AM,14.84,4.52
1/18/2015,4:00:00 AM,14.84,4.52
1/18/2015,5:00:00 AM,14.86,4.53
1/18/2015,6:00:00 AM,14.84,4.52
1/18/2015,7:00:00 AM,14.84,4.52
1/18/2015,8:00:00 AM,14.84,4.52
1/18/2015,9:00:00 AM,14.84,4.52
1/18/2015,10:00:00 AM,14.84,4.52
1/18/2015,11:00:00 AM,14.84,4.52
1/18/2015,12:00:00 PM,14.85,4.53
1/18/2015,1:00:00 PM,14.81,4.51
1/18/2015,2:00:00 PM,14.81,4.51
1/18/2015,3:00:00 PM,14.81,4.51
1/18/2015,4:00:00 PM,14.82,4.52
1/18/2015,5:00:00 PM,14.82,4.52
1/18/2015,6:00:00 PM,14.82,4.52
1/18/2015,7:00:00 PM,14.81,4.51
1/18/2015,8:00:00 PM,14.82,4.52
1/18/2015,9:00:00 PM,14.83,4.52
1/18/2015,10:00:00 PM,14.84,4.52
1/18/2015,11:00:00 PM,14.84,4.52
1/19/2015,12:00:00 AM,14.84,4.52
1/19/2015,1:00:00 AM,14.84,4.52
1/19/2015,2:00:00 AM,14.85,4.53
1/19/2015,3:00:00 AM,14.85,4.53
1/19/2015,4:00:00 AM,14.84,4.52
1/19/2015,5:00:00 AM,14.84,4.52
1/19/2015,6:00:00 AM,14.84,4.52
1/19/2015,7:00:00 AM,14.84,4.52
1/19/2015,8:00:00 AM,14.84,4.52
1/19/2015,9:00:00 AM,14.84,4.52
1/19/2015,10:00:00 AM,14.83,4.52
1/19/2015,11:00:00 AM,14.82,4.52
1/19/2015,12:00:00 PM,14.83,4.52
1/19/2015,1:00:00 PM,14.81,4.51
1/19/2015,2:00:00 PM,14.82,4.52
1/19/2015,3:00:00 PM,14.82,4.52
1/19/2015,4:00:00 PM,14.82,4.52
1/19/2015,5:00:00 PM,14.84,4.52
1/19/2015,6:00:00 PM,14.82,4.52
1/19/2015,7:00:00 PM,14.83,4.52
1/19/2015,8:00:00 PM,14.84,4.52
1/19/2015,9:00:00 PM,14.84,4.52
1/19/2015,10:00:00 PM,14.84,4.52
1/19/2015,11:00:00 PM,14.86,4.53
1/20/2015,12:00:00 AM,14.83,4.52
1/20/2015,1:00:00 AM,14.83,4.52
1/20/2015,2:00:00 AM,14.83,4.52
1/20/2015,3:00:00 AM,14.81,4.51
1/20/2015,4:00:00 AM,14.81,4.51
1/20/2015,5:00:00 AM,14.8,4.51
1/20/2015,6:00:00 AM,14.81,4.51
1/20/2015,7:00:00 AM,14.79,4.51
1/20/2015,8:00:00 AM,14.77,4.5
1/20/2015,9:00:00 AM,14.82,4.52
1/20/2015,10:00:00 AM,14.78,4.5
1/20/2015,11:00:00 AM,14.79,4.51
1/20/2015,12:00:00 PM,14.79,4.51
1/20/2015,1:00:00 PM,14.8,4.51
1/20/2015,2:00:00 PM,14.84,4.52
1/20/2015,3:00:00 PM,14.78,4.5
1/20/2015,4:00:00 PM,14.8,4.51
1/20/2015,5:00:00 PM,14.8,4.51
1/20/2015,6:00:00 PM,14.79,4.51
1/20/2015,7:00:00 PM,14.8,4.51
1/20/2015,8:00:00 PM,14.8,4.51
1/20/2015,9:00:00 PM,14.83,4.52
1/20/2015,10:00:00 PM,14.79,4.51
1/20/2015,11:00:00 PM,14.83,4.52
1/21/2015,12:00:00 AM,14.82,4.52
1/21/2015,1:00:00 AM,14.81,4.51
1/21/2015,2:00:00 AM,14.81,4.51
1/21/2015,3:00:00 AM,14.83,4.52
1/21/2015,4:00:00 AM,14.84,4.52
1/21/2015,5:00:00 AM,14.85,4.53
1/21/2015,6:00:00 AM,14.84,4.52
1/21/2015,7:00:00 AM,14.83,4.52
1/21/2015,8:00:00 AM,14.83,4.52
1/21/2015,9:00:00 AM,14.83,4.52
1/21/2015,10:00:00 AM,14.84,4.52
1/21/2015,11:00:00 AM,14.88,4.54
1/21/2015,12:00:00 PM,14.87,4.53
1/21/2015,1:00:00 PM,14.86,4.53
1/21/2015,2:00:00 PM,14.81,4.51
1/21/2015,3:00:00 PM,14.81,4.51
1/21/2015,4:00:00 PM,14.81,4.51
1/21/2015,5:00:00 PM,14.8,4.51
1/21/2015,6:00:00 PM,14.81,4.51
1/21/2015,7:00:00 PM,14.8,4.51
1/21/2015,8:00:00 PM,14.81,4.51
1/21/2015,9:00:00 PM,14.78,4.5
1/21/2015,10:00:00 PM,14.82,4.52
1/21/2015,11:00:00 PM,14.82,4.52
1/22/2015,12:00:00 AM,14.82,4.52
1/22/2015,1:00:00 AM,14.78,4.5
1/22/2015,2:00:00 AM,14.82,4.52
1/22/2015,3:00:00 AM,14.8,4.51
1/22/2015,4:00:00 AM,14.8,4.51
1/22/2015,5:00:00 AM,14.83,4.52
1/22/2015,6:00:00 AM,14.82,4.52
1/22/2015,7:00:00 AM,14.82,4.52
1/22/2015,8:00:00 AM,14.79,4.51
1/22/2015,9:00:00 AM,14.8,4.51
1/22/2015,10:00:00 AM,14.81,4.51
1/22/2015,11:00:00 AM,14.78,4.5
1/22/2015,12:00:00 PM,14.76,4.5
1/22/2015,1:00:00 PM,14.77,4.5
1/22/2015,2:00:00 PM,14.77,4.5
1/22/2015,3:00:00 PM,14.77,4.5
1/22/2015,4:00:00 PM,14.78,4.5
1/22/2015,5:00:00 PM,14.77,4.5
1/22/2015,6:00:00 PM,14.77,4.5
1/22/2015,7:00:00 PM,14.76,4.5
1/22/2015,8:00:00 PM,14.76,4.5
1/22/2015,9:00:00 PM,14.75,4.5
1/22/2015,10:00:00 PM,14.75,4.5
1/22/2015,11:00:00 PM,14.8,4.51
1/23/2015,12:00:00 AM,14.77,4.5
1/23/2015,1:00:00 AM,14.77,4.5
1/23/2015,2:00:00 AM,14.77,4.5
1/23/2015,3:00:00 AM,14.76,4.5
1/23/2015,4:00:00 AM,14.82,4.52
1/23/2015,5:00:00 AM,14.82,4.52
1/23/2015,6:00:00 AM,14.76,4.5
1/23/2015,7:00:00 AM,14.91,4.54
1/23/2015,8:00:00 AM,14.83,4.52
1/23/2015,9:00:00 AM,14.79,4.51
1/23/2015,10:00:00 AM,14.8,4.51
1/23/2015,11:00:00 AM,14.74,4.49
1/23/2015,12:00:00 PM,14.75,4.5
1/23/2015,1:00:00 PM,14.68,4.47
1/23/2015,2:00:00 PM,14.7,4.48
1/23/2015,3:00:00 PM,14.71,4.48
1/23/2015,4:00:00 PM,14.69,4.48
1/23/2015,5:00:00 PM,14.65,4.47
1/23/2015,6:00:00 PM,14.68,4.47
1/23/2015,7:00:00 PM,14.67,4.47
1/23/2015,8:00:00 PM,14.68,4.47
1/23/2015,9:00:00 PM,14.66,4.47
1/23/2015,10:00:00 PM,14.65,4.47
1/23/2015,11:00:00 PM,14.63,4.46
1/24/2015,12:00:00 AM,14.62,4.46
1/24/2015,1:00:00 AM,14.63,4.46
1/24/2015,2:00:00 AM,14.63,4.46
1/24/2015,3:00:00 AM,14.62,4.46
1/24/2015,4:00:00 AM,14.63,4.46
1/24/2015,5:00:00 AM,14.62,4.46
1/24/2015,6:00:00 AM,14.63,4.46
1/24/2015,7:00:00 AM,14.61,4.45
1/24/2015,8:00:00 AM,14.63,4.46
1/24/2015,9:00:00 AM,14.61,4.45
1/24/2015,10:00:00 AM,14.62,4.46
1/24/2015,11:00:00 AM,14.62,4.46
1/24/2015,12:00:00 PM,14.63,4.46
1/24/2015,1:00:00 PM,14.6,4.45
1/24/2015,2:00:00 PM,14.62,4.46
1/24/2015,3:00:00 PM,14.59,4.45
1/24/2015,4:00:00 PM,14.62,4.46
1/24/2015,5:00:00 PM,14.61,4.45
1/24/2015,6:00:00 PM,14.6,4.45
1/24/2015,7:00:00 PM,14.62,4.46
1/24/2015,8:00:00 PM,14.62,4.46
1/24/2015,9:00:00 PM,14.6,4.45
1/24/2015,10:00:00 PM,14.61,4.45
1/24/2015,11:00:00 PM,14.62,4.46
1/25/2015,12:00:00 AM,14.6,4.45
1/25/2015,1:00:00 AM,14.59,4.45
1/25/2015,2:00:00 AM,14.59,4.45
1/25/2015,3:00:00 AM,14.62,4.46
1/25/2015,4:00:00 AM,14.59,4.45
1/25/2015,5:00:00 AM,14.62,4.46
1/25/2015,6:00:00 AM,14.64,4.46
