Location,Taxa,Total
Floodplain,Cladocera,21821
Floodplain,Copepoda,754
Floodplain,Ostracoda,353
Floodplain,Diptera,1923
Floodplain,Hemiptera,44
Floodplain,Amphipoda,163
Floodplain,Other,30
Sacramento River,Cladocera,2165
Sacramento River,Copepoda,456
Sacramento River,Diptera,3787
Sacramento River,Amphipoda,444
Sacramento River,Hemiptera,324
Sacramento River,Other,594
Sacramento River,Ostracoda,13
