Sample ID ,Site,Date,Year,Tissue,d34S ,d13C,d15N,Caged,WDN,R_FP,week ,Day,subsite,Exp_Wild
DM17037,Sacramento River,4/24/2017,2017,S,1.5,-30.64,9.34,uncaged,flood,River,0,,River,Wild
DM17039,Sacramento River,2/27/2017,2017,S,0.24,-27.44,6.46,uncaged,flood,River,0,,River,Wild
DM17040,Sacramento River,3/26/2017,2017,S,5.82,-31.24,5.87,uncaged,flood,River,0,,River,Wild
DM17043,Sacramento River,3/27/2017,2017,S,1.21,-29.22,7.13,uncaged,flood,River,0,,River,Wild
DM17044,Sacramento River,3/24/2017,2017,S,3.28,-28.6,7.05,uncaged,flood,River,0,,River,Wild
DM17045,Sacramento River,4/21/2017,2017,S,4.16,-29.98,6.43,uncaged,flood,River,0,,River,Wild
DM17047,Sacramento River,3/28/2017,2017,S,3.62,-28.23,6.86,uncaged,flood,River,0,,River,Wild
DM17048,Sacramento River,3/29/2017,2017,S,1.77,-30.06,8.04,uncaged,flood,River,0,,River,Wild
DM17049,Sacramento River,3/29/2017,2017,S,3.74,-30.22,7.62,uncaged,flood,River,0,,River,Wild
DM17050,Sacramento River,5/1/2017,2017,S,1.34,-29.78,7.61,uncaged,flood,River,0,,River,Wild
DM17052,Sacramento River,4/12/2017,2017,S,3.18,-26.72,6.71,uncaged,flood,River,0,,River,Wild
DM17053,Sacramento River,3/16/2017,2017,S,5.72,-28.65,9.16,uncaged,flood,River,0,,River,Wild
DM17054,Sacramento River,5/5/2017,2017,S,0.85,-30.23,9.1,uncaged,flood,River,0,,River,Wild
DM17055,Sacramento River,4/14/2017,2017,S,3.61,-28.24,7.57,uncaged,flood,River,0,,River,Wild
DM17056,Sacramento River,4/12/2017,2017,S,4.64,-28.9,6.29,uncaged,flood,River,0,,River,Wild
DM17057,Sacramento River,3/16/2017,2017,S,3.13,-28.34,6.79,uncaged,flood,River,0,,River,Wild
DM17058,Sacramento River,3/21/2017,2017,S,2.61,-29.28,6.43,uncaged,flood,River,0,,River,Wild
DM17059,Sacramento River,2/12/2017,2017,S,1.4,-24.74,4.83,uncaged,flood,River,0,,River,Wild
DM17060,Sacramento River,2/28/2017,2017,S,0.33,-27.27,6.56,uncaged,flood,River,0,,River,Wild
DM17005,Sacramento River,2/3/2017,2017,S,5.06,-27.06,7.85,uncaged,flood,River,0,,River,Wild
DM17011,Sacramento River,2/14/2017,2017,S,1.76,-29.49,2.37,uncaged,flood,River,0,,River,Wild
DM17062,Sacramento River,4/14/2017,2017,S,1.89,-28.84,6.94,uncaged,flood,River,0,,River,Wild
DM17063,Sacramento River,2/22/2017,2017,S,1.66,-28.87,6.37,uncaged,flood,River,0,,River,Wild
DM17065,Sacramento River,3/16/2017,2017,S,6.12,-28.76,6.53,uncaged,flood,River,0,,River,Wild
DM17066,Sacramento River,2/14/2017,2017,S,6.34,-28.27,6.97,uncaged,flood,River,0,,River,Wild
DM17067,Sacramento River,5/1/2017,2017,S,1.49,-29.35,4.76,uncaged,flood,River,0,,River,Wild
NP17001,Yolo Bypass,3/16/2017,2017,M,1,-27.97,11.01,uncaged,flood,Floodplain,3,,knaggs,Wild
NP17002,Yolo Bypass,3/16/2017,2017,M,1,-28.79,11.42,uncaged,flood,Floodplain,3,,knaggs,Wild
NP17003,Yolo Bypass,3/16/2017,2017,M,1.4,-29.92,11.8,uncaged,flood,Floodplain,3,,knaggs,Wild
NP17004,Yolo Bypass,3/16/2017,2017,M,0.8,-30.08,11.21,uncaged,flood,Floodplain,3,,knaggs,Wild
NP17005,Yolo Bypass,3/16/2017,2017,M,0.3,-29.88,11.17,uncaged,flood,Floodplain,3,,knaggs,Wild
NP17006,Yolo Bypass,4/6/2017,2017,M,-0.5,-27.03,10.95,uncaged,flood,Floodplain,3,,conaway,Wild
NP17007,Yolo Bypass,4/6/2017,2017,M,7.4,-22.16,11.95,uncaged,flood,Floodplain,3,,conaway,Wild
NP17008,Yolo Bypass,4/6/2017,2017,M,-0.9,-27.35,12.02,uncaged,flood,Floodplain,3,,conaway,Wild
NP17009,Yolo Bypass,4/6/2017,2017,M,7.2,-22.16,12.18,uncaged,flood,Floodplain,3,,conaway,Wild
NP17010,Yolo Bypass,4/6/2017,2017,M,-1.1,-26.08,11.58,uncaged,flood,Floodplain,3,,conaway,Wild
NP17011,Yolo Bypass,4/6/2017,2017,M,7.1,-21.82,12.34,uncaged,flood,Floodplain,3,,conaway,Wild
NP17012,Yolo Bypass,4/6/2017,2017,M,8.9,-21,12.35,uncaged,flood,Floodplain,3,,conaway,Wild
NP17013,Hatchery,4/3/2017,2017,M,11.9,-20.14,13.29,uncaged,flood,River,0,0,hatchery,
NP17014,Hatchery,4/3/2017,2017,M,12.1,-20.2,12.79,uncaged,flood,River,0,0,hatchery,
NP17015,Hatchery,4/3/2017,2017,M,12.2,-20.22,13.39,uncaged,flood,River,0,0,hatchery,
NP17013,Hatchery,4/3/2017,2017,M,11.9,-20.14,13.29,uncaged,flood,Floodplain,0,0,hatchery,
NP17014,Hatchery,4/3/2017,2017,M,12.1,-20.2,12.79,uncaged,flood,Floodplain,0,0,hatchery,
NP17015,Hatchery,4/3/2017,2017,M,12.2,-20.22,13.39,uncaged,flood,Floodplain,0,0,hatchery,
NP17016,Yolo Bypass,4/5/2017,2017,M,8,-22.45,12.22,uncaged,flood,Floodplain,3,,yolo bypass,Wild
NP17017,Yolo Bypass,4/5/2017,2017,M,-1.4,-28.5,12.61,uncaged,flood,Floodplain,3,,yolo bypass,Wild
NP17018,Yolo Bypass,4/5/2017,2017,M,-1.1,-28.26,12.82,uncaged,flood,Floodplain,3,,yolo bypass,Wild
NP17019,Yolo Bypass,4/6/2017,2017,M,-1.6,-27.59,12.64,uncaged,flood,Floodplain,3,,yolo bypass,Wild
NP17020,Yolo Bypass,4/6/2017,2017,M,0.4,-26.59,12.34,uncaged,flood,Floodplain,3,,yolo bypass,Wild
NP17021,Yolo Bypass,4/5/2017,2017,M,-2.1,-28.16,10.1,uncaged,flood,Floodplain,3,,yolo bypass,Wild
NP17022,Yolo Bypass,4/5/2017,2017,M,-1.7,-29.56,11.72,uncaged,flood,Floodplain,3,,yolo bypass,Wild
NP17023,Yolo Bypass,4/6/2017,2017,M,-1.4,-28.2,12.24,uncaged,flood,Floodplain,3,,yolo bypass,Wild
NP17024,Yolo Bypass,4/5/2017,2017,M,-1.7,-27.26,11.64,uncaged,flood,Floodplain,3,,yolo bypass,Wild
NP17025,Yolo Bypass,4/5/2017,2017,M,-0.3,-25.59,10.08,uncaged,flood,Floodplain,3,,yolo bypass,Wild
NP17026,Yolo Bypass,4/5/2017,2017,M,-1.8,-26.84,11.8,uncaged,flood,Floodplain,3,,yolo bypass,Wild
NP17027,Yolo Bypass,4/5/2017,2017,M,-0.4,-28.08,12.6,uncaged,flood,Floodplain,3,,yolo bypass,Wild
NP17028,Yolo Bypass,4/5/2017,2017,M,9.3,-22.22,12.03,uncaged,flood,Floodplain,3,,yolo bypass,Wild
NP17029,Yolo Bypass,4/5/2017,2017,M,-1.7,-28.22,11.79,uncaged,flood,Floodplain,3,,yolo bypass,Wild
NP17030,Yolo Bypass,4/6/2017,2017,M,-1.6,-28.5,12.46,uncaged,flood,Floodplain,3,,yolo bypass,Wild
NP17031,Yolo Bypass,4/26/2017,2017,M,2.7,-26.23,12.31,caged,flood,Floodplain,3,42,fieldx,Experimental
NP17032,Yolo Bypass,4/26/2017,2017,M,3.7,-25.3,12.82,caged,flood,Floodplain,3,42,fieldx,Experimental
NP17033,Yolo Bypass,4/26/2017,2017,M,1.7,-25.78,12.3,caged,flood,Floodplain,3,42,fieldx,Experimental
NP17034,Yolo Bypass,4/26/2017,2017,M,1.4,-27.25,12.2,caged,flood,Floodplain,3,42,fieldx,Experimental
NP17035,Yolo Bypass,4/26/2017,2017,M,3.9,-25.36,12.66,caged,flood,Floodplain,3,42,fieldx,Experimental
NP17001,Yolo Bypass,3/16/2017,2017,S,-1.35,-36.64,7.56,uncaged,flood,Floodplain,3,,knaggs,Wild
NP17002,Yolo Bypass,3/16/2017,2017,S,-1.33,-30.33,8.7,uncaged,flood,Floodplain,3,,knaggs,Wild
NP17003,Yolo Bypass,3/16/2017,2017,S,-2.89,-38.02,7.46,uncaged,flood,Floodplain,3,,knaggs,Wild
NP17004,Yolo Bypass,3/16/2017,2017,S,-3.54,-37.68,7.18,uncaged,flood,Floodplain,3,,knaggs,Wild
NP17005,Yolo Bypass,3/16/2017,2017,S,-2.41,-37.27,7.71,uncaged,flood,Floodplain,3,,knaggs,Wild
NP17006,Yolo Bypass,4/6/2017,2017,S,-3.17,-31.6,6.9,uncaged,flood,Floodplain,3,,conaway,Wild
NP17007,Yolo Bypass,4/6/2017,2017,S,1.3,-25.54,9.24,uncaged,flood,Floodplain,3,,conaway,Wild
NP17008,Yolo Bypass,4/6/2017,2017,S,-1.69,-30.46,9.2,uncaged,flood,Floodplain,3,,conaway,Wild
NP17009,Yolo Bypass,4/6/2017,2017,S,1.25,-26.31,9.41,uncaged,flood,Floodplain,3,,conaway,Wild
NP17010,Yolo Bypass,4/6/2017,2017,S,-2.25,-27.26,8.8,uncaged,flood,Floodplain,3,,conaway,Wild
NP17011,Yolo Bypass,4/6/2017,2017,S,-1.25,-28.41,7.47,uncaged,flood,Floodplain,3,,conaway,Wild
NP17012,Yolo Bypass,4/6/2017,2017,S,-1.84,-28.59,7.42,uncaged,flood,Floodplain,3,,conaway,Wild
NP17013,Hatchery,4/3/2017,2017,S,NA,NA,NA,uncaged,flood,River,3,0,hatchery,
NP17014,Hatchery,4/3/2017,2017,S,NA,NA,NA,uncaged,flood,River,,0,hatchery,
NP17015,Hatchery,4/3/2017,2017,S,NA,NA,NA,uncaged,flood,River,,0,hatchery,
NP17016,Yolo Bypass,4/5/2017,2017,S,-1.11,-32.91,7.13,uncaged,flood,Floodplain,,,yolo bypass,Wild
NP17017,Yolo Bypass,4/5/2017,2017,S,-2.76,-34.48,6.72,uncaged,flood,Floodplain,,,yolo bypass,Wild
NP17018,Yolo Bypass,4/5/2017,2017,S,-2.2,-33.05,7.75,uncaged,flood,Floodplain,,,yolo bypass,Wild
NP17019,Yolo Bypass,4/6/2017,2017,S,-2.07,-31.58,8.77,uncaged,flood,Floodplain,,,yolo bypass,Wild
NP17020,Yolo Bypass,4/6/2017,2017,S,-3.08,-31.65,7.16,uncaged,flood,Floodplain,,,yolo bypass,Wild
NP17021,Yolo Bypass,4/5/2017,2017,S,-2.76,-33.48,6.66,uncaged,flood,Floodplain,,,yolo bypass,Wild
NP17022,Yolo Bypass,4/5/2017,2017,S,-2.87,-33.85,6.98,uncaged,flood,Floodplain,,,yolo bypass,Wild
NP17023,Yolo Bypass,4/6/2017,2017,S,-2.24,-31.7,7.57,uncaged,flood,Floodplain,,,yolo bypass,Wild
NP17024,Yolo Bypass,4/5/2017,2017,S,-2.55,-32.74,7.28,uncaged,flood,Floodplain,,,yolo bypass,Wild
NP17025,Yolo Bypass,4/5/2017,2017,S,-1.38,-31.94,7.36,uncaged,flood,Floodplain,,,yolo bypass,Wild
NP17026,Yolo Bypass,4/5/2017,2017,S,-1.23,-33.14,6.6,uncaged,flood,Floodplain,,,yolo bypass,Wild
NP17027,Yolo Bypass,4/5/2017,2017,S,-1.89,-33.03,7.25,uncaged,flood,Floodplain,,,yolo bypass,Wild
NP17028,Yolo Bypass,4/5/2017,2017,S,-1.21,-32.45,7.23,uncaged,flood,Floodplain,,,yolo bypass,Wild
NP17029,Yolo Bypass,4/5/2017,2017,S,-2.6,-32.21,7.77,uncaged,flood,Floodplain,,,yolo bypass,Wild
NP17030,Yolo Bypass,4/6/2017,2017,S,-2.32,-32.25,7.04,uncaged,flood,Floodplain,,,yolo bypass,Wild
NP17031,Yolo Bypass,4/26/2017,2017,S,-2.74,-27.58,7.5,caged,flood,Floodplain,,42,fieldx,Experimental
NP17032,Yolo Bypass,4/26/2017,2017,S,-1.62,-28.31,7.55,caged,flood,Floodplain,,42,fieldx,Experimental
NP17033,Yolo Bypass,4/26/2017,2017,S,-1.73,-28.8,7.39,caged,flood,Floodplain,,42,fieldx,Experimental
NP17034,Yolo Bypass,4/26/2017,2017,S,-1.73,-28.73,7.23,caged,flood,Floodplain,,42,fieldx,Experimental
NP17035,Yolo Bypass,4/26/2017,2017,S,-1.98,-28.65,7.56,caged,flood,Floodplain,,42,fieldx,Experimental
NP16011,Yolo Bypass,2/22/2016,2016,F,-1.7,-31.75,11.8,uncaged,average,Floodplain,,,,Experimental
NP16012,Yolo Bypass,2/22/2016,2016,F,-1.8,-30.63,11.55,uncaged,average,Floodplain,,,,Experimental
NP16013,Yolo Bypass,2/22/2016,2016,F,-2.8,-31.74,11.65,uncaged,average,Floodplain,,,,Experimental
NP16014,Yolo Bypass,2/22/2016,2016,F,-3,-31.15,11.58,uncaged,average,Floodplain,,,,Experimental
NP16015,Yolo Bypass,2/22/2016,2016,F,-2.4,-31.58,11.48,uncaged,average,Floodplain,,,,Experimental
NP16021,Yolo Bypass,2/29/2016,2016,F,-3.7,-32.87,10.83,uncaged,average,Floodplain,,,,Experimental
NP16022,Yolo Bypass,2/29/2016,2016,F,-3.4,-33.14,10.23,uncaged,average,Floodplain,,,,Experimental
NP16023,Yolo Bypass,2/29/2016,2016,F,-2.6,-32.43,11.07,uncaged,average,Floodplain,,,,Wild
NP16024,Yolo Bypass,2/29/2016,2016,F,-2.9,-31.88,10.51,uncaged,average,Floodplain,,,,Experimental
NP16025,Yolo Bypass,2/29/2016,2016,F,-3.6,-32.55,10.18,uncaged,average,Floodplain,,,,Experimental
NP16001,Yolo Bypass,3/7/2016,2016,F,-4.8,-33.42,11.32,uncaged,average,Floodplain,,,,Wild
NP16002,Yolo Bypass,3/7/2016,2016,F,-4.9,-34.22,10.1,uncaged,average,Floodplain,,,,Wild
NP16003,Yolo Bypass,3/7/2016,2016,F,-4.6,-32.66,10.49,uncaged,average,Floodplain,,,,Experimental
NP16004,Yolo Bypass,3/7/2016,2016,F,-5.1,-32.68,10.3,uncaged,average,Floodplain,,,,Experimental
NP16005,Yolo Bypass,3/7/2016,2016,F,-5,-33.07,10.53,uncaged,average,Floodplain,,,,Experimental
NP16026,Yolo Bypass,3/10/2016,2016,F,-6.5,-34.49,11.53,uncaged,average,Floodplain,,,,Experimental
NP16027,Yolo Bypass,3/10/2016,2016,F,-6,-33.88,11.39,uncaged,average,Floodplain,,,,Experimental
NP16028,Yolo Bypass,3/10/2016,2016,F,-6.4,-34.77,11.45,uncaged,average,Floodplain,,,,Experimental
NP16029,Yolo Bypass,3/10/2016,2016,F,-5.6,-34.4,11.59,uncaged,average,Floodplain,,,,Experimental
NP16030,Yolo Bypass,3/10/2016,2016,F,-6.5,-34.01,11.41,uncaged,average,Floodplain,,,,Wild
NP17200,Sacramento River Caged,4/26/2017,2017,M,6.1,-24.86,12,caged,flood,River,,42,River,Experimental
NP17201,Sacramento River Caged,4/26/2017,2017,M,7.5,-23.81,12.67,caged,flood,River,,42,River,Experimental
NP17202,Sacramento River Caged,4/26/2017,2017,M,6.3,-24.85,12.27,caged,flood,River,,42,River,Experimental
NP17203,Sacramento River Caged,4/26/2017,2017,M,8.6,-23.32,12.51,caged,flood,River,,42,River,Experimental
NP17204,Sacramento River Caged,4/26/2017,2017,M,5.9,-24.33,11.94,caged,flood,River,,42,River,Experimental
NP17200,Sacramento River Caged,4/26/2017,2017,S,2.55,-30.92,9.08,caged,flood,River,,42,River,Experimental
NP17201,Sacramento River Caged,4/26/2017,2017,S,1.49,-29.94,6.96,caged,flood,River,,42,River,Experimental
NP17202,Sacramento River Caged,4/26/2017,2017,S,2.01,-31.07,9.73,caged,flood,River,,42,River,Experimental
NP17203,Sacramento River Caged,4/26/2017,2017,S,2.28,-31.02,8.33,caged,flood,River,,42,River,Experimental
NP17204,Sacramento River Caged,4/26/2017,2017,S,1.8,-30.29,8.62,caged,flood,River,,42,River,Experimental
NP16016,Yolo Bypass,2/9/2016,2016,F,7.3,-24.63,13.16,uncaged,average,Floodplain,,,,Experimental
NP16017,Yolo Bypass,2/9/2016,2016,F,7.5,-24.15,13.18,uncaged,average,Floodplain,,,,
NP16018,Yolo Bypass,2/9/2016,2016,F,7.2,-24.46,12.63,uncaged,average,Floodplain,,,,
NP16019,Yolo Bypass,2/9/2016,2016,F,8.2,-23.16,13.93,uncaged,average,Floodplain,,,,
NP16020,Yolo Bypass,2/9/2016,2016,F,7.1,-24.78,12.56,uncaged,average,Floodplain,,,,
NP16006,Yolo Bypass,2/16/2016,2016,F,2,-28.95,11.47,uncaged,average,Floodplain,,,,
NP16007,Yolo Bypass,2/16/2016,2016,F,3.1,-27.79,12.01,uncaged,average,Floodplain,,,,Experimental
NP16008,Yolo Bypass,2/16/2016,2016,F,1.4,-29.23,12.17,uncaged,average,Floodplain,,,,
NP16009,Yolo Bypass,2/16/2016,2016,F,1.7,-29.3,11.58,uncaged,average,Floodplain,,,,
NP16010,Yolo Bypass,2/16/2016,2016,F,1.3,-28.92,12.06,uncaged,average,Floodplain,,,,Experimental
