"R_FP","mean_d13C","sd_d13C","n_d13C","mean_d15N","sd_d15N","n_d15N","mean_d34S","sd_d34S","n_d34S"
"Floodplain",-33.02,2.66,132,7.19,1.22,132,-3.47,2.28,133
"River",-28.37,1.84,190,7.25,1.46,190,2.23,2.25,203
