"Hab","mean_d13C","sd_d13C","n_d13C","mean_d15N","sd_d15N","n_d15N","mean_d34S","sd_d34S","n_d34S"
"Sacramento River",-22.67,2.82,180,12.04,2.11,180,6.77,4.87,196
"Sacramento River Enclosed",-23.45,1.15,11,11.65,0.92,11,6.55,2.99,11
"Yolo Bypass",-28.64,1.79,21,10.31,1.16,21,-1.45,2.56,53
"Yolo Bypass Enclosed",-31.28,2.08,45,11.24,0.63,45,-3.3,1.41,45
